task	model	cond	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	evalAt1	n_valid	p_valid	avg_p_TP	sd_p_TP	avg_p_TN	sd_p_TN	avg_p_FP	sd_p_FP	avg_p_FN	sd_p_FN	avg_p_Error	sd_p_Error	avg_p_Pass	sd_p_Pass	avg_p_Fail	sd_p_Fail	n_valid_manual	p_valid_manual	avg_p_Pass_manual	n_valid_auto	p_valid_auto	avg_p_Pass_auto	n_at_least_one_error	n_all_error	Cond	Model	Open model	Difficulty	CC_prog	CC_sol
HEx0	athene-v2-chat	post	5	4	QQ	Athene		72.7	271	open	33	1	10	1	0.878787878787879	0	0.121212121212121	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Post	Athene	Yes	QQ	Low	Low
HEx101	athene-v2-chat	post	9	6	QQ	Athene		72.7	271	open	463	0.1	1	0.1	0.295464362850972	0.475742821905139	0.00755939524838013	0.00669585141747238	0.000431965442764579	0.000910663113079447	0	0	0.696544276457883	0.480688943729211	0.303023758099352	0.479993813414018	0.696976241900648	0.479993813414018	1	0.1	0.346153846153846	3	0.3	0.3	7	4	Post	Athene	Yes	QQ	High	High
HEx104	athene-v2-chat	pre	6	2	S	Athene		72.7	271	open	25	0.8	8	0.8	0.24	0	0.728	0.0674619234169254	0	0	0	0	0.032	0.0674619234169254	0.968	0.0674619234169254	0.032	0.0674619234169254	8	0.8	0.977777777777778	8	0.8	0.9625	2	0	Pre	Athene	Yes	S	High	Low
HEx104	athene-v2-chat	post	6	5	QQ	Athene		72.7	271	open	15	0.1	1	0.1	0.166666666666667	0.270801280154532	0.16	0.175541490294502	0.0266666666666667	0.0562182695141045	0.0133333333333333	0.0421637021355784	0.633333333333333	0.457853283956367	0.326666666666667	0.401786135606285	0.673333333333333	0.401786135606285	1	0.1	0.33	2	0.2	0.2	7	5	Post	Athene	Yes	QQ	High	Low
HEx108	athene-v2-chat	post	2	3	NQ	Athene		72.7	271	open	12	0.9	9	0.9	0.55	0.105409255338946	0.383333333333333	0.105409255338946	0	0	0	0	0.0666666666666667	0.210818510677892	0.933333333333333	0.210818510677892	0.0666666666666667	0.210818510677892	9	0.9	0.94	10	1		1	0	Post	Athene	Yes	NQ	Low	Low
HEx111	athene-v2-chat	pre	8	3	Q	Athene		72.7	271	open	85	1	10	1	0.117647058823529	0	0.882352941176471	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	Q	High	Low
HEx111	athene-v2-chat	post	8	10	QQ	Athene		72.7	271	open	17	0.6	6	0.6	0.423529411764706	0.364516079643051	0.176470588235294	0.151881699851271	0	0	0	0	0.4	0.516397779494322	0.6	0.516397779494322	0.4	0.516397779494322	6	0.6	0.6	6	0.6	0.6	4	4	Post	Athene	Yes	QQ	High	High
HEx114	athene-v2-chat	post	5	6	QQ	Athene		72.7	271	open	28	0.2	2	0.2	0.178571428571429	0.322968094434537	0.0607142857142857	0.0922907021110205	0	0	0	0	0.760714285714286	0.409651834916359	0.239285714285714	0.409651834916359	0.760714285714286	0.409651834916359	2	0.2	0.263636363636364	2	0.2	0.2	8	6	Post	Athene	Yes	QQ	Low	High
HEx120	athene-v2-chat	pre	7	2	S	Athene		72.7	271	open	56	0.7	7	0.7	0.5125	0.207916249164577	0.3375	0.118585412256314	0	0	0.05	0.105409255338946	0.1	0.316227766016838	0.85	0.316227766016838	0.15	0.316227766016838	8	0.8	0.883333333333333	7	0.7	0.846	1	1	Pre	Athene	Yes	S	High	Low
HEx127	athene-v2-chat	pre	4	2	Q	Athene		72.7	271	open	21	0.6	6	0.6	0.628571428571429	0.221995349041868	0.257142857142857	0.0903507902905251	0	0	0.019047619047619	0.0245903704521106	0.0952380952380952	0.301169300968417	0.885714285714286	0.312016822229984	0.114285714285714	0.312016822229984	6	0.6	0.84	9	0.9	0.9	1	0	Pre	Athene	Yes	Q	Low	Low
HEx127	athene-v2-chat	post	4	5	Q	Athene		72.7	271	open	24	0.1	1	0.1	0.258333333333333	0.352898054736828	0.120833333333333	0.0909695716322934	0	0	0.0291666666666667	0.0483125753636836	0.591666666666667	0.411448810250789	0.379166666666667	0.422391230794215	0.620833333333333	0.422391230794215	1	0.1	0.43	3	0.3	0.3	9	3	Post	Athene	Yes	Q	Low	Low
HEx13	athene-v2-chat	pre	5	3	Q	Athene		72.7	271	open	47	1	10	1	0.702127659574468	0	0.297872340425532	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	Q	Low	Low
HEx13	athene-v2-chat	post	5	4	QQ	Athene		72.7	271	open	42	0.5	5	0.5	0.514285714285714	0.442626668137991	0.0857142857142857	0.0656383273909058	0.00714285714285714	0.0225876975726313	0	0	0.392857142857143	0.507595371555425	0.6	0.501923736878147	0.4	0.501923736878147	5	0.5	0.6	6	0.6	0.6	4	3	Post	Athene	Yes	QQ	Low	Low
HEx132	athene-v2-chat	pre	7	3	Q	Athene		72.7	271	open	363	1	10	1	0.0165289256198347	0	0.983471074380165	0	0	0	0	0	0	0	1	0	0	0	10	1	1	10	1	1	0	0	Pre	Athene	Yes	Q	High	Low
