task	model	cond	replica	prog_cc	solution_cc	solution_human_comp	Short name	EvalPlus Leaderboard position	Parameters (B)	Size (GB)	Licence	n_tests	n_TP	n_TN	n_FP	n_FN	n_Error	n_Pass	n_Fail	n_tests_manual	n_TP_manual	n_TN_manual	n_FP_manual	n_FN_manual	n_Error_manual	n_Pass_manual	n_Fail_manual	n_tests_auto	n_TP_auto	n_TN_auto	n_FP_auto	n_FN_auto	n_Error_auto	n_Pass_auto	n_Fail_auto	p_Pass	p_Fail	p_TP	p_TN	p_FP	p_FN	p_Error	p_Pass_manual	p_Fail_manual	p_TP_manual	p_TN_manual	p_FP_manual	p_FN_manual	p_Error_manual	p_Pass_auto	p_Fail_auto	p_TP_auto	p_TN_auto	p_FP_auto	p_FN_auto	p_Error_auto
HE0	athene-v2-chat	post	1	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	2	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	3	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	4	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	5	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	6	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	7	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	8	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	9	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE0	athene-v2-chat	post	10	5	4	QQ	Athene		72.7	271	open	33	29	4	0	0	0	33	0	11	9	2	0	0	0	11	0	20	20	0	0	0	0	20	0	1	0	0.878787878787879	0.121212121212121	0	0	0	1	0	0.818181818181818	0.181818181818182	0	0	0	1	0	1	0	0	0	0
HE1	athene-v2-chat	pre	1	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	2	5	9	NQ	Athene		72.7	271	open	222	3	218	0	1	0	221	1	11	3	7	0	1	0	10	1	211	0	211	0	0	0	211	0	0.995495495495495	0.00450450450450451	0.0135135135135135	0.981981981981982	0	0.00450450450450451	0	0.909090909090909	0.0909090909090909	0.272727272727273	0.636363636363636	0	0.0909090909090909	0	1	0	0	1	0	0	0
HE1	athene-v2-chat	pre	3	5	9	NQ	Athene		72.7	271	open	222	0	0	0	1	221	0	222	11	0	0	0	1	10	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0.00450450450450451	0.995495495495495	0	1	0	0	0	0.0909090909090909	0.909090909090909	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	4	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	5	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	6	5	9	NQ	Athene		72.7	271	open	222	3	218	0	1	0	221	1	11	3	7	0	1	0	10	1	211	0	211	0	0	0	211	0	0.995495495495495	0.00450450450450451	0.0135135135135135	0.981981981981982	0	0.00450450450450451	0	0.909090909090909	0.0909090909090909	0.272727272727273	0.636363636363636	0	0.0909090909090909	0	1	0	0	1	0	0	0
HE1	athene-v2-chat	pre	7	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	8	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	9	5	9	NQ	Athene		72.7	271	open	222	0	0	0	0	222	0	222	11	0	0	0	0	11	0	11	211	0	0	0	0	211	0	211	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE1	athene-v2-chat	pre	10	5	9	NQ	Athene		72.7	271	open	222	0	214	0	0	8	214	8	11	0	3	0	0	8	3	8	211	0	211	0	0	0	211	0	0.963963963963964	0.036036036036036	0	0.963963963963964	0	0	0.036036036036036	0.272727272727273	0.727272727272727	0	0.272727272727273	0	0	0.727272727272727	1	0	0	1	0	0	0
HE1	athene-v2-chat	post	1	5	6	NQ	Athene		72.7	271	open	11	0	0	0	0	11	0	11	9	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1							
HE1	athene-v2-chat	post	2	5	6	NQ	Athene		72.7	271	open	11	0	0	0	0	11	0	11	9	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1							
HE1	athene-v2-chat	post	3	5	6	NQ	Athene		72.7	271	open	11	6	2	3	0	0	8	3	9	6	1	2	0	0	7	2	0	0	0	0	0	0	0	0	0.727272727272727	0.272727272727273	0.545454545454545	0.181818181818182	0.272727272727273	0	0	0.777777777777778	0.222222222222222	0.666666666666667	0.111111111111111	0.222222222222222	0	0							
HE1	athene-v2-chat	post	4	5	6	NQ	Athene		72.7	271	open	11	0	0	0	0	11	0	11	9	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1							
HE1	athene-v2-chat	post	5	5	6	NQ	Athene		72.7	271	open	11	0	2	0	0	9	2	9	9	0	1	0	0	8	1	8	0	0	0	0	0	0	0	0	0.181818181818182	0.818181818181818	0	0.181818181818182	0	0	0.818181818181818	0.111111111111111	0.888888888888889	0	0.111111111111111	0	0	0.888888888888889							
HE1	athene-v2-chat	post	6	5	6	NQ	Athene		72.7	271	open	11	0	2	0	0	9	2	9	9	0	1	0	0	8	1	8	0	0	0	0	0	0	0	0	0.181818181818182	0.818181818181818	0	0.181818181818182	0	0	0.818181818181818	0.111111111111111	0.888888888888889	0	0.111111111111111	0	0	0.888888888888889							
HE1	athene-v2-chat	post	7	5	6	NQ	Athene		72.7	271	open	11	0	1	0	0	10	1	10	9	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0.0909090909090909	0.909090909090909	0	0.0909090909090909	0	0	0.909090909090909	0	1	0	0	0	0	1							
HE1	athene-v2-chat	post	8	5	6	NQ	Athene		72.7	271	open	11	6	2	3	0	0	8	3	9	6	1	2	0	0	7	2	0	0	0	0	0	0	0	0	0.727272727272727	0.272727272727273	0.545454545454545	0.181818181818182	0.272727272727273	0	0	0.777777777777778	0.222222222222222	0.666666666666667	0.111111111111111	0.222222222222222	0	0							
HE1	athene-v2-chat	post	9	5	6	NQ	Athene		72.7	271	open	11	6	2	3	0	0	8	3	9	6	1	2	0	0	7	2	0	0	0	0	0	0	0	0	0.727272727272727	0.272727272727273	0.545454545454545	0.181818181818182	0.272727272727273	0	0	0.777777777777778	0.222222222222222	0.666666666666667	0.111111111111111	0.222222222222222	0	0							
HE1	athene-v2-chat	post	10	5	6	NQ	Athene		72.7	271	open	11	0	0	0	0	11	0	11	9	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1							
HE101	athene-v2-chat	pre	1	9	7	NQ	Athene		72.7	271	open	519	43	66	2	408	0	109	410	12	1	6	2	3	0	7	5	507	42	60	0	405	0	102	405	0.210019267822736	0.789980732177264	0.0828516377649326	0.127167630057803	0.00385356454720617	0.786127167630058	0	0.583333333333333	0.416666666666667	0.0833333333333333	0.5	0.166666666666667	0.25	0	0.201183431952663	0.798816568047337	0.0828402366863906	0.118343195266272	0	0.798816568047337	0
HE101	athene-v2-chat	pre	2	9	7	NQ	Athene		72.7	271	open	519	43	66	2	408	0	109	410	12	1	6	2	3	0	7	5	507	42	60	0	405	0	102	405	0.210019267822736	0.789980732177264	0.0828516377649326	0.127167630057803	0.00385356454720617	0.786127167630058	0	0.583333333333333	0.416666666666667	0.0833333333333333	0.5	0.166666666666667	0.25	0	0.201183431952663	0.798816568047337	0.0828402366863906	0.118343195266272	0	0.798816568047337	0
HE101	athene-v2-chat	pre	3	9	7	NQ	Athene		72.7	271	open	519	44	68	0	407	0	112	407	12	1	8	0	3	0	9	3	507	43	60	0	404	0	103	404	0.215799614643545	0.784200385356455	0.0847784200385356	0.13102119460501	0	0.784200385356455	0	0.75	0.25	0.0833333333333333	0.666666666666667	0	0.25	0	0.203155818540434	0.796844181459566	0.0848126232741617	0.118343195266272	0	0.796844181459566	0
HE101	athene-v2-chat	pre	4	9	7	NQ	Athene		72.7	271	open	519	0	0	0	0	519	0	519	12	0	0	0	0	12	0	12	507	0	0	0	0	507	0	507	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	pre	5	9	7	NQ	Athene		72.7	271	open	519	42	56	12	409	0	98	421	12	1	4	4	3	0	5	7	507	41	52	8	406	0	93	414	0.188824662813102	0.811175337186898	0.0809248554913295	0.107899807321773	0.023121387283237	0.788053949903661	0	0.416666666666667	0.583333333333333	0.0833333333333333	0.333333333333333	0.333333333333333	0.25	0	0.183431952662722	0.816568047337278	0.0808678500986193	0.102564102564103	0.0157790927021696	0.800788954635108	0
HE101	athene-v2-chat	pre	6	9	7	NQ	Athene		72.7	271	open	519	0	0	0	0	519	0	519	12	0	0	0	0	12	0	12	507	0	0	0	0	507	0	507	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	pre	7	9	7	NQ	Athene		72.7	271	open	519	42	56	12	409	0	98	421	12	1	4	4	3	0	5	7	507	41	52	8	406	0	93	414	0.188824662813102	0.811175337186898	0.0809248554913295	0.107899807321773	0.023121387283237	0.788053949903661	0	0.416666666666667	0.583333333333333	0.0833333333333333	0.333333333333333	0.333333333333333	0.25	0	0.183431952662722	0.816568047337278	0.0808678500986193	0.102564102564103	0.0157790927021696	0.800788954635108	0
HE101	athene-v2-chat	pre	8	9	7	NQ	Athene		72.7	271	open	519	263	68	0	188	0	331	188	12	4	8	0	0	0	12	0	507	259	60	0	188	0	319	188	0.637764932562621	0.36223506743738	0.506743737957611	0.13102119460501	0	0.36223506743738	0	1	0	0.333333333333333	0.666666666666667	0	0	0	0.629191321499014	0.370808678500986	0.510848126232742	0.118343195266272	0	0.370808678500986	0
HE101	athene-v2-chat	pre	9	9	7	NQ	Athene		72.7	271	open	519	43	66	2	408	0	109	410	12	1	6	2	3	0	7	5	507	42	60	0	405	0	102	405	0.210019267822736	0.789980732177264	0.0828516377649326	0.127167630057803	0.00385356454720617	0.786127167630058	0	0.583333333333333	0.416666666666667	0.0833333333333333	0.5	0.166666666666667	0.25	0	0.201183431952663	0.798816568047337	0.0828402366863906	0.118343195266272	0	0.798816568047337	0
HE101	athene-v2-chat	pre	10	9	7	NQ	Athene		72.7	271	open	519	43	66	2	408	0	109	410	12	1	6	2	3	0	7	5	507	42	60	0	405	0	102	405	0.210019267822736	0.789980732177264	0.0828516377649326	0.127167630057803	0.00385356454720617	0.786127167630058	0	0.583333333333333	0.416666666666667	0.0833333333333333	0.5	0.166666666666667	0.25	0	0.201183431952663	0.798816568047337	0.0828402366863906	0.118343195266272	0	0.798816568047337	0
HE101	athene-v2-chat	post	1	9	6	QQ	Athene		72.7	271	open	463	0	0	0	0	463	0	463	13	0	0	0	0	13	0	13	447	0	0	0	0	447	0	447	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	2	9	6	QQ	Athene		72.7	271	open	463	456	7	0	0	0	463	0	13	9	4	0	0	0	13	0	447	447	0	0	0	0	447	0	1	0	0.98488120950324	0.0151187904967603	0	0	0	1	0	0.692307692307692	0.307692307692308	0	0	0	1	0	1	0	0	0	0
HE101	athene-v2-chat	post	3	9	6	QQ	Athene		72.7	271	open	463	0	6	0	0	457	6	457	13	0	3	0	0	10	3	10	447	0	0	0	0	447	0	447	0.0129589632829374	0.987041036717063	0	0.0129589632829374	0	0	0.987041036717063	0.230769230769231	0.769230769230769	0	0.230769230769231	0	0	0.769230769230769	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	4	9	6	QQ	Athene		72.7	271	open	463	0	0	0	0	463	0	463	13	0	0	0	0	13	0	13	447	0	0	0	0	447	0	447	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	5	9	6	QQ	Athene		72.7	271	open	463	456	6	1	0	0	462	1	13	9	3	1	0	0	12	1	447	447	0	0	0	0	447	0	0.997840172786177	0.00215982721382289	0.98488120950324	0.0129589632829374	0.00215982721382289	0	0	0.923076923076923	0.0769230769230769	0.692307692307692	0.230769230769231	0.0769230769230769	0	0	1	0	1	0	0	0	0
HE101	athene-v2-chat	post	6	9	6	QQ	Athene		72.7	271	open	463	0	0	0	0	463	0	463	13	0	0	0	0	13	0	13	447	0	0	0	0	447	0	447	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	7	9	6	QQ	Athene		72.7	271	open	463	0	4	0	0	459	4	459	13	0	2	0	0	11	2	11	447	0	0	0	0	447	0	447	0.00863930885529158	0.991360691144708	0	0.00863930885529158	0	0	0.991360691144708	0.153846153846154	0.846153846153846	0	0.153846153846154	0	0	0.846153846153846	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	8	9	6	QQ	Athene		72.7	271	open	463	456	6	1	0	0	462	1	13	9	3	1	0	0	12	1	447	447	0	0	0	0	447	0	0.997840172786177	0.00215982721382289	0.98488120950324	0.0129589632829374	0.00215982721382289	0	0	0.923076923076923	0.0769230769230769	0.692307692307692	0.230769230769231	0.0769230769230769	0	0	1	0	1	0	0	0	0
HE101	athene-v2-chat	post	9	9	6	QQ	Athene		72.7	271	open	463	0	0	0	0	463	0	463	13	0	0	0	0	13	0	13	447	0	0	0	0	447	0	447	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE101	athene-v2-chat	post	10	9	6	QQ	Athene		72.7	271	open	463	0	6	0	0	457	6	457	13	0	3	0	0	10	3	10	447	0	0	0	0	447	0	447	0.0129589632829374	0.987041036717063	0	0.0129589632829374	0	0	0.987041036717063	0.230769230769231	0.769230769230769	0	0.230769230769231	0	0	0.769230769230769	0	1	0	0	0	0	1
HE104	athene-v2-chat	pre	1	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	2	6	2	S	Athene		72.7	271	open	25	6	15	0	0	4	21	4	9	4	4	0	0	1	8	1	16	2	11	0	0	3	13	3	0.84	0.16	0.24	0.6	0	0	0.16	0.888888888888889	0.111111111111111	0.444444444444444	0.444444444444444	0	0	0.111111111111111	0.8125	0.1875	0.125	0.6875	0	0	0.1875
HE104	athene-v2-chat	pre	3	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	4	6	2	S	Athene		72.7	271	open	25	6	15	0	0	4	21	4	9	4	4	0	0	1	8	1	16	2	11	0	0	3	13	3	0.84	0.16	0.24	0.6	0	0	0.16	0.888888888888889	0.111111111111111	0.444444444444444	0.444444444444444	0	0	0.111111111111111	0.8125	0.1875	0.125	0.6875	0	0	0.1875
HE104	athene-v2-chat	pre	5	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	6	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	7	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	8	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	9	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	pre	10	6	2	S	Athene		72.7	271	open	25	6	19	0	0	0	25	0	9	4	5	0	0	0	9	0	16	2	14	0	0	0	16	0	1	0	0.24	0.76	0	0	0	1	0	0.444444444444444	0.555555555555556	0	0	0	1	0	0.125	0.875	0	0	0
HE104	athene-v2-chat	post	1	6	5	QQ	Athene		72.7	271	open	15	9	4	2	0	0	13	2	10	7	2	1	0	0	9	1	2	2	0	0	0	0	2	0	0.866666666666667	0.133333333333333	0.6	0.266666666666667	0.133333333333333	0	0	0.9	0.1	0.7	0.2	0.1	0	0	1	0	1	0	0	0	0
HE104	athene-v2-chat	post	2	6	5	QQ	Athene		72.7	271	open	15	0	0	0	0	15	0	15	10	0	0	0	0	10	0	10	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	3	6	5	QQ	Athene		72.7	271	open	15	0	0	0	0	15	0	15	10	0	0	0	0	10	0	10	2	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	4	6	5	QQ	Athene		72.7	271	open	15	0	6	0	0	9	6	9	10	0	3	0	0	7	3	7	2	0	0	0	0	2	0	2	0.4	0.6	0	0.4	0	0	0.6	0.3	0.7	0	0.3	0	0	0.7	0	1	0	0	0	0	1
HE104	athene-v2-chat	post	5	6	5	QQ	Athene		72.7	271	open	15	7	4	2	2	0	11	4	10	7	2	1	0	0	9	1	2	0	0	0	2	0	0	2	0.733333333333333	0.266666666666667	0.466666666666667	0.266666666666667	0.133333333333333	0.133333333333333	0	0.9	0.1	0.7	0.2	0.1	0	0	0	1	0	0	0	1	0
