task	n_unsolved	complexity	cc
HEx158	24	NQ	High
HEx1	23	NQ	High
HEx21	23	NQ	High
HEx136	22	NQ	High
HEx42	22	NQ	High
HEx73	22	NQ	Low
HEx138	21	NQ	High
HEx141	20	NQ	Low
HEx160	20	NQ	High
HEx132	19	NQ	High
HEx57	18	S	Low
HEx120	17	NQ	High
HEx140	17	NQ	High
HEx50	17	NQ	Low
HEx86	17	NQ	Low
HEx108	16	NQ	Low
HEx101	15	QQ	High
HEx127	15	Q	Low
HEx71	15	QQ	Low
HEx99	13	S	Low
HEx37	12	S	Low
HEx43	12	QQ	High
HEx60	12	Q	Low
HEx114	11	QQ	High
HEx16	11	Q	Low
HEx161	11	QQ	High
HEx104	10	QQ	Low
HEx111	10	QQ	High
HEx13	9	QQ	Low
HEx20	9	QQ	Low
HEx30	9	Q	Low
HEx65	9	NQ	Low
HEx24	8	Q	Low
HEx90	7	S	Low
HEx0	6	QQ	Low
HEx151	6	QQ	Low
HEx80	6	Q	Low
HEx84	6	NQ	Low
HEx74	5	Q	Low
HEx45	3	S	Low
